Day,,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
Monday,,,,,,"BIC10003:  S1 K
(I-sitihajara) [I-BT4]",,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Thursday,,,,,,,,,,,,"BIC10003:  S1 T
(I-sitihajara) [I-BT4]",,,,,,,,,,,,,,,,REHAT,,,,
,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,
Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
"Footnote: Sections in Merge Slots
9 -  BIC10003 (I-sitihajara) <FSKTM-1BIK> S1 : K, BIC10003 (I-sitihajara) <FSKTM-1BIM> S1 : K
120 -  BIC10003 (I-sitihajara) <FSKTM-1BIK> S1 : T, BIC10003 (I-sitihajara) <FSKTM-1BIM> S1 : T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Day,,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Tuesday,,,,,,,,,,,,,,,,,,,,,,"BIC10203:  S1 K
(I-sfadzlun) [I-B8-T2-GS]",,,,,,REHAT,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,
Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Thursday,,"BIC10203:  S6 K
(I-suriati) [I-BT2]",,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
"Footnote: Sections in Merge Slots
55 -  BIC10203 (I-sfadzlun) <FSKTM-1BIS INTAKE II> S1 : K, BIC10203 (I-suriati) <FSKTM-3BIW> S6 : A
99 -  BIC10203 (I-suriati) <FSKTM-3BIW> S6 : K, BIC10203 (I-sfadzlun) <FSKTM-1BIS INTAKE II> S1 : A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Day,,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Thursday,,,,,,,,,,,,,,,,,,"BIC10303:  S1 T
(I-sitihajara) [I-BT3]",,,,,,,,,,REHAT,,,,
,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,
Friday,,,,,,"BIC10303:  S1 K
(I-sitihajara) [I-BT4]",,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,
"Footnote: Sections in Merge Slots
123 -  BIC10303 (I-sitihajara) <FSKTM-2BIP> S1 : T, BIC10303 (I-sitihajara) <FSKTM-2BIS> S1 : T, BIC10303 (I-sitihajara) <FSKTM-2BIW> S1 : T, BIC10303 (I-sitihajara) <FSKTM-3BIM> S1 : T
146 -  BIC10303 (I-sitihajara) <FSKTM-2BIP> S1 : K, BIC10303 (I-sitihajara) <FSKTM-2BIS> S1 : K, BIC10303 (I-sitihajara) <FSKTM-2BIW> S1 : K, BIC10303 (I-sitihajara) <FSKTM-3BIM> S1 : K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
